X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.585371373993838E-4,4.358468195262867,0.17829146177233945
2.0,2.0,train,0.0014004553483512325,45.04538729474053,0.654824770245299
3.0,3.0,train,0.0010640097197327242,32.346921834645634,0.5543221386579793
4.0,4.0,train,0.003479642270352979,92.62333196805139,0.9288475506183564
5.0,5.0,train,0.0022289704243493055,75.02730047289627,0.8160321275889665
6.0,6.0,train,0.001115618033289654,34.312022969257484,0.5714541285631657
7.0,7.0,train,8.606280863195886E-4,24.156325581356754,0.4798729698176448
8.0,8.0,train,0.002298121800141296,77.06127770640808,0.8254453558645831
9.0,9.0,train,0.0016798071461380994,52.8412180283572,0.7208154334614505
10.0,10.0,train,0.0013736229465230118,44.129166017199736,0.647717818532798
11.0,11.0,train,0.002121341542258375,71.54115099918646,0.8003612125266719
12.0,12.0,train,0.003285135060406104,90.93402680798567,0.9175195805073467
13.0,13.0,train,0.001602404619080102,50.09631284909043,0.7039099962194948
14.0,14.0,train,2.356571397556156E-4,3.5599367828044106,0.16388676773205424
15.0,15.0,train,0.001728077065080099,55.36041550485227,0.730865806576334
16.0,16.0,train,0.0024128054388517423,79.89590709585073,0.8400068617447373
17.0,17.0,train,0.0026764528701278822,84.74188404313401,0.8690415721518213
18.0,18.0,train,0.0013342665843843232,42.346644383882804,0.6370281540036493
19.0,19.0,train,7.790664097955044E-4,22.161640410588046,0.4466324115609074
20.0,20.0,train,0.0013530986755027168,43.06058320389543,0.6421830549041921
21.0,21.0,train,0.0011224265402220942,35.03337230617781,0.5736645642884258
22.0,22.0,train,0.0013525309868597385,43.01923730297139,0.6420287371505848
23.0,23.0,train,0.0013648972557749291,43.56274189166595,0.6453753078193898
24.0,24.0,train,0.001412233740008388,45.36492538607907,0.6578989947209288
25.0,25.0,train,0.002154992121774201,72.39889879741256,0.8053991222145186
26.0,26.0,train,0.0021462463363384273,72.18319928276705,0.8041021280467744
27.0,27.0,train,0.0012003134607286505,37.849178887842896,0.5981543158832379
28.0,28.0,train,0.004071723557608921,97.08454092227265,0.9546180335467636
29.0,29.0,train,6.081690515035767E-4,16.71037346180948,0.36993308604201536
30.0,30.0,train,0.003205102370143192,90.2809646446943,0.9123502266809695
31.0,31.0,train,0.0023051681210294354,77.52171124391545,0.826377071380196
32.0,32.0,train,0.003834450868817707,96.2848694760318,0.9456560595142762
33.0,33.0,train,0.0022432334552623698,75.69931508489252,0.8180143603496944
34.0,34.0,train,0.0021200243536484012,71.11767153839315,0.8001613822430796
35.0,35.0,train,0.0023317112804498176,78.10330779887188,0.8298423676876666
36.0,36.0,train,0.0036242020234953203,94.04959045383576,0.9362463964717842
37.0,37.0,train,0.0019071153398853861,63.02787286935669,0.7650851218493845
38.0,38.0,train,0.0029760019493819526,88.42464128020748,0.895690738077172
39.0,39.0,train,0.005112437330754853,99.99998112538239,0.9794131985705204
40.0,40.0,train,0.0033069445306500456,91.26482351266469,0.9188746295349776
41.0,41.0,train,0.0023812120614236753,78.6955302651669,0.8361211574444715
42.0,42.0,train,0.0022058245363851758,74.58382426112242,0.8127693304176077
43.0,43.0,train,1.851822650969525E-4,2.1125207509313446,0.13120970407954125
44.0,44.0,train,0.002036185721864059,67.58432756297341,0.7870219737543585
45.0,45.0,train,0.001634818109520017,51.011198760954926,0.7111105456347121
46.0,46.0,train,0.002715899319373382,85.01344953028804,0.8729070462979291
47.0,47.0,train,5.56042402838005E-4,14.53693476983834,0.34448686139824125
48.0,48.0,train,9.042727780819871E-4,26.005788419626263,0.4968324866182944
49.0,49.0,train,0.0010051980378319972,29.297484661097762,0.5339624159679255
50.0,50.0,train,0.0016731248915571447,52.506031619814216,0.7193948454057055
51.0,51.0,train,0.001584840128522235,49.87959099898693,0.6999334079775945
52.0,52.0,train,0.0026747956122520917,84.4741726632896,0.868876623770563
53.0,53.0,train,0.0010316194560865907,30.95225068162025,0.543221707597215
54.0,54.0,train,0.0036381823909696423,94.41337339568405,0.936919792734178
55.0,55.0,train,0.0016759420914885187,52.647344273456014,0.7199946363428293
56.0,56.0,train,0.0016839707942196615,53.00978479525429,0.7216969491231334
57.0,57.0,train,3.4715634923321737E-4,7.164879173487631,0.23178023677278037
58.0,58.0,train,7.177796844985192E-4,20.31203781992008,0.4202643229448897
59.0,59.0,train,8.553892928944351E-4,23.988549757479944,0.47779922086492643
60.0,60.0,train,0.0013652463129469215,43.64728142688484,0.6454693145865515
61.0,61.0,train,0.001838404143275947,60.587015951581684,0.7524996019768964
62.0,62.0,train,0.001402012740424133,45.08705522963159,0.6552328376381648
63.0,63.0,train,1.716365889371528E-4,1.7503537155127438,0.12222501953746034
64.0,64.0,train,0.0018119542589558326,59.305949887773345,0.7474770947603249
65.0,65.0,train,0.0034895819264426147,92.97222522468823,0.9293826987639419
66.0,66.0,train,7.90953711096363E-4,22.530740371795815,0.45160621954331004
67.0,67.0,train,0.0012963418351377074,41.07760554262301,0.6264205613197582
68.0,68.0,train,0.0013278728508315425,42.0831612539173,0.6352611660729769
69.0,69.0,train,0.0011277372772981013,35.27648934461388,0.5753808190882803
70.0,70.0,train,0.003613373500010911,93.68723471700785,0.9357198795590695
71.0,71.0,train,0.0017204297953024995,54.54346676386669,0.7292980149848625
72.0,72.0,train,0.0017090895772263312,54.14720136111266,0.7269562909899756
73.0,73.0,train,0.0018662817570679645,61.143263401860125,0.7576851283256689
74.0,74.0,train,0.002115094408120221,70.90506255228814,0.7994116847682642
75.0,75.0,train,0.0017492747160330333,56.10407205088226,0.7351643001334555
76.0,76.0,train,0.0010776551008085161,32.82450530800266,0.5589173898974051
77.0,77.0,train,9.5278877697289E-4,27.57975947150433,0.5150366800665169
78.0,78.0,train,0.0010666704230346063,32.399950886213674,0.5552219053204044
79.0,79.0,train,0.0030701773128353066,89.33792810832594,0.9028913824059746
80.0,80.0,train,0.0024981734316631274,81.61458338866242,0.8500517179092735
81.0,81.0,train,0.0019481260407484826,64.191400162304,0.7722897643668415
82.0,82.0,train,0.0013090352288728402,41.448430009389796,0.6300049904581231
83.0,83.0,train,6.73517105507245E-4,19.072071261613573,0.4004427246964394
84.0,84.0,train,0.001835449768783668,60.40305185447641,0.7519435953613172
85.0,85.0,train,6.572836372442177E-4,18.565270379219832,0.39300443110605154
86.0,86.0,train,0.0014940048210898569,47.57691921964,0.6784999972658111
87.0,87.0,train,0.002523860756085708,81.86709096852664,0.8529489396549995
88.0,88.0,train,0.003005176766099285,88.72510557484829,0.8979767536117268
89.0,89.0,train,0.0023922017128365997,78.93483104030022,0.8374833756118532
90.0,90.0,train,0.0026494688570029797,84.20671695392865,0.8663298244802277
91.0,91.0,train,0.0022339441487618894,75.25087611998863,0.8167258005787732
92.0,92.0,train,0.003147863665240723,89.96045616118612,0.9084555944535931
93.0,93.0,train,0.0015570193762508104,49.00239334893721,0.6935252341676719
94.0,94.0,train,0.0018284025557459861,59.67109219697822,0.7506122772945781
95.0,95.0,train,4.3014916972495545E-4,10.51518214384714,0.2787113507410608
96.0,96.0,train,0.002740723153164941,85.5601500988161,0.875280898417318
97.0,97.0,train,0.0042732251193669055,97.51184554011964,0.9610582811784989
98.0,98.0,train,0.0036889818050263317,94.78230128583273,0.9393073370660003
99.0,99.0,train,0.0011467927537376248,36.0587795403378,0.5814822471993466
100.0,100.0,train,0.0013173990825242213,41.81503804993338,0.6323480034814164
101.0,101.0,train,0.002041718179451338,68.19635981961225,0.7879150568723946
102.0,102.0,train,0.0019657530814151843,64.78111546943455,0.7753181354165687
103.0,103.0,train,0.0021698006690773035,73.0486312879442,0.8075756703912758
104.0,104.0,train,9.976116137834982E-4,29.045024952827507,0.5312692628073737
105.0,105.0,train,0.005040138855056371,99.48874238183427,0.9782510863201863
106.0,106.0,train,0.0018493594540984017,60.825126594907054,0.7545505097190623
107.0,107.0,train,0.0017869962396713979,58.094210344127944,0.742644449392019
108.0,108.0,train,8.644637555194429E-4,24.3773346811646,0.48138607544713297
109.0,109.0,train,4.0008442275655674E-4,9.195828287549144,0.2620509331914458
110.0,110.0,train,6.374209575674254E-4,17.63715073392864,0.3837775563969318
111.0,111.0,train,0.001235663044469584,38.61924601432633,0.6088000967464577
112.0,112.0,train,0.0018327315587241847,60.05803844993609,0.7514309311423072
113.0,113.0,train,0.0021356877096530154,71.75466273012957,0.8025247676798802
114.0,114.0,train,0.004840384753712574,97.99594130596986,0.9746878323438152
115.0,115.0,train,0.0022504714776132306,75.92435164431504,0.8190120947654065
116.0,116.0,train,0.0016980829146708886,53.61619374656834,0.7246640747017691
117.0,117.0,train,0.0010248712313448414,30.261591490854702,0.540874456130322
118.0,118.0,train,0.002316561292126863,77.75351752125165,0.8278730490154246
119.0,119.0,train,0.0035356978498971457,93.32576375766514,0.9318133876521248
120.0,120.0,train,0.0012419492648922178,38.86705983976298,0.6106634839381615
121.0,121.0,train,0.0010066849446004828,29.3470773462088,0.5344884460907972
122.0,122.0,train,0.001974270981658706,65.37226456284414,0.7767670660684791
123.0,123.0,train,0.0010057659207267998,29.316382667256878,0.5341633887389196
124.0,124.0,train,0.001696266389373011,53.51789631238851,0.7242839245929766
125.0,125.0,train,4.7846681944521897E-4,12.27110782202611,0.30470224866428397
126.0,126.0,train,4.834567937378428E-4,12.511847061727467,0.3073325017285734
127.0,127.0,train,0.0011173623486789579,34.43815433505485,0.5720215239697335
128.0,128.0,train,0.0017604264402288935,56.62979724917692,0.7373980354826946
129.0,129.0,train,0.0025436138948295335,82.37383282012881,0.855138725120651
130.0,130.0,train,9.909629131170954E-4,28.846154848083472,0.5288962044936573
131.0,131.0,train,0.0013913896263330035,44.803184982449956,0.6524397654422769
